,pclass,sex,age,sibsp,parch,fare,cabin,S,Q,C,survived
71,2,1,23.96056847884592,0,2,14.5,7,1,0,0,1
72,3,0,27.86942913517647,0,0,7.775,7,1,0,0,0
73,2,0,31.470288985323354,0,0,13.5,7,1,0,0,0
74,3,1,19.994687797018496,1,1,16.7,6,1,0,0,0
75,1,0,45.87229266068377,0,0,26.2875,4,1,0,0,0
76,3,0,27.86942913517647,0,0,7.775,7,1,0,0,0
77,1,0,36.52729021476608,1,0,90.0,2,1,0,0,0
78,3,1,26.820176316718126,0,0,7.8792,7,0,1,0,1
79,3,0,16.05351457039832,1,2,20.575,7,1,0,0,0
80,1,0,44.66989150628262,0,0,26.55,7,1,0,0,0
81,2,1,14.288140077804995,1,2,41.5792,7,0,0,1,1
82,3,1,12.380194500000002,3,2,27.9,7,1,0,0,0
83,3,1,12.527179487179488,8,2,69.55,7,1,0,0,0
84,3,0,27.94373682748416,0,0,7.7958,7,1,0,0,0
85,3,0,28.354669605695626,0,0,7.925,7,1,0,0,0
86,3,0,35.642510241369465,0,0,14.5,7,1,0,0,0
87,1,1,27.275667333333335,1,2,120.0,1,1,0,0,1
88,1,0,44.063663998496295,0,0,5.0,1,1,0,0,1
89,3,0,21.43254707771398,2,0,14.1083,7,1,0,0,0
90,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
91,3,1,32.29435108985507,0,5,39.6875,7,1,0,0,1
92,1,0,50.013116924655094,0,0,30.5,2,1,0,0,0
93,3,0,27.849089123033178,0,0,7.65,5,1,0,0,0
94,2,0,17.634006431429835,0,2,26.0,5,1,0,0,0
95,1,0,44.09890491118077,1,1,79.65,4,1,0,0,0
96,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
97,3,0,28.091017427852407,0,0,7.7375,7,0,1,0,0
98,2,0,33.42509821342574,0,0,26.0,7,1,0,0,0
99,3,0,28.354669605695626,0,0,7.925,7,1,0,0,0
100,3,1,8.796874165050635,5,2,46.9,7,1,0,0,0
101,1,0,48.78828331382149,0,0,26.55,2,1,0,0,0
102,3,0,31.546212726483088,0,0,6.4375,7,0,0,1,0
103,1,0,43.87303911031498,1,0,75.25,3,0,0,1,0
104,3,0,41.08332399039266,1,6,46.9,7,1,0,0,0
105,3,0,20.91933516402266,0,1,8.5167,7,0,0,1,0
106,2,0,34.31005150459384,1,0,26.0,7,1,0,0,0
107,1,1,39.630608558108555,1,0,52.5542,3,1,0,0,1
108,3,0,7.6393741650506355,5,2,46.9,7,1,0,0,0
109,2,1,32.79997419434853,1,0,26.0,7,1,0,0,1
110,1,0,42.24622562641325,0,0,512.3292,1,0,0,1,0
111,1,1,34.56875708268077,1,0,136.7792,2,0,0,1,1
112,3,0,27.849089123033178,0,0,7.55,7,1,0,0,0
113,1,0,38.04108747044918,0,0,25.7417,7,0,0,1,0
114,2,0,30.603353083439043,0,0,13.0,7,1,0,0,0
115,1,0,38.058214341214345,0,0,47.1,7,1,0,0,0
116,2,1,17.911527002312983,2,3,18.75,7,1,0,0,1
117,1,0,40.96889350181719,1,1,211.5,2,0,0,1,0
118,1,1,34.407798539774404,1,0,113.275,3,0,0,1,1
119,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
120,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
121,2,0,30.603353083439043,0,0,13.0,7,1,0,0,0
122,2,0,18.53492352092352,0,0,73.5,7,1,0,0,0
123,1,0,19.44304761904762,0,2,113.275,3,0,0,1,0
124,3,0,27.86942913517647,0,0,7.75,7,1,0,0,0
125,3,0,27.762846764890252,0,0,7.8958,7,0,0,1,0
126,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
127,2,0,33.258156930325775,1,0,21.0,7,1,0,0,0
128,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
129,2,1,32.79997419434853,1,0,26.0,7,1,0,0,1
130,1,0,46.17442935732046,0,0,35.5,19,1,0,0,0
131,2,0,38.1697425255877,0,0,0.0,7,1,0,0,1
132,3,0,27.94373682748416,0,0,7.7958,7,1,0,0,0
133,3,1,26.898749361875904,0,0,7.25,7,1,0,0,1
134,3,1,28.176570256112065,0,0,7.75,7,0,1,0,1
135,3,0,28.718256137356644,0,0,7.25,7,1,0,0,0
136,3,0,7.6393741650506355,5,2,46.9,7,1,0,0,0
137,3,0,5.3284220779220774,4,1,29.125,7,0,1,0,0
138,1,0,45.11042050759697,0,0,52.0,2,1,0,0,0
139,1,0,37.58173825757055,0,0,29.7,1,0,0,1,0
140,2,0,29.82119585901722,0,0,10.5,7,1,0,0,0
141,3,0,37.02488417221915,0,0,7.75,7,0,1,0,0
142,2,0,29.82119585901722,0,0,10.5,7,1,0,0,0
143,3,0,5.857248623925094,4,2,31.3875,7,1,0,0,0
144,1,0,56.32,1,4,263.0,2,1,0,0,0
145,3,1,19.547502743466826,1,1,12.1833,7,1,0,0,0
146,3,0,28.3541184926772,0,0,7.225,7,0,0,1,0
147,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
148,3,0,19.57826689072835,0,2,14.5,7,1,0,0,0
149,3,0,26.78137084259218,0,0,8.3625,7,1,0,0,0
150,2,0,30.401660495349393,0,0,15.05,7,0,0,1,0
151,3,0,16.947868343731653,1,1,15.9,7,1,0,0,0
152,1,0,40.62199149126735,1,0,76.7292,3,0,0,1,0
153,3,0,32.69708250536278,0,0,16.1,7,1,0,0,0
154,3,0,20.647693200535358,2,0,8.05,7,1,0,0,0
155,3,0,26.78137084259218,0,0,8.4333,7,1,0,0,0
156,3,0,26.96137084259218,0,0,9.225,7,1,0,0,0
157,3,1,27.070498951933992,0,0,8.05,7,1,0,0,1
158,1,0,46.21077765045412,0,0,50.0,2,1,0,0,0
159,3,0,31.427846747840928,0,0,7.125,7,1,0,0,0
160,1,1,38.251521122746986,0,1,83.1583,2,0,0,1,1
161,3,1,4.451258248446897,2,1,19.2583,7,0,0,1,1
162,3,1,26.690501271893517,0,0,9.5875,7,1,0,0,1
163,1,0,51.82558445712262,0,0,35.0,2,1,0,0,0
164,1,1,39.80369769617356,1,1,83.1583,4,0,0,1,1
165,3,1,24.711509650051454,0,0,7.7333,7,0,1,0,1
166,2,0,37.815606912989495,0,0,12.35,7,0,1,0,0
167,1,1,41.57566722664309,1,1,110.8833,2,0,0,1,1
168,3,1,29.060852706258807,0,0,12.475,7,1,0,0,1
169,1,0,32.51775405354167,1,0,146.5208,1,0,0,1,0
170,2,0,29.82119585901722,0,0,10.5,7,1,0,0,0
171,1,0,48.30983793567023,0,0,26.55,1,1,0,0,0
172,2,1,22.135538313655626,3,0,21.0,7,1,0,0,1
173,2,0,34.31005150459384,1,0,26.0,7,1,0,0,0
174,3,0,26.96137084259218,0,0,9.225,7,1,0,0,0
175,3,1,19.09539702107297,2,2,34.375,7,1,0,0,1
176,2,0,25.0442411398903,0,2,29.0,7,1,0,0,0
177,1,1,31.475677399803264,0,1,247.5208,1,0,0,1,1
178,3,1,22.861544892817744,0,0,7.2292,7,0,0,1,1
179,3,0,27.801011647197075,1,0,6.4375,7,0,0,1,0
180,1,0,48.0989535756641,1,0,52.0,7,1,0,0,0
181,3,1,5.6466666666666665,4,2,7.925,7,1,0,0,0
182,3,0,28.718256137356644,0,0,7.25,7,1,0,0,0
183,3,0,26.066294544099936,1,0,7.775,7,1,0,0,0
184,3,0,35.625192411184784,1,0,19.9667,7,1,0,0,0
185,3,1,23.495028327827654,0,2,22.025,7,1,0,0,1
186,1,0,42.658153133544246,0,0,0.0,7,1,0,0,1
187,2,1,33.22408260528959,0,0,21.0,7,1,0,0,1
188,3,0,28.038609716018712,0,0,8.1583,7,1,0,0,0
189,1,0,52.1198326118326,1,1,81.8583,0,1,0,0,0
190,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
191,3,0,30.36118008117426,0,0,7.05,7,1,0,0,0
192,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
193,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
194,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
195,3,0,34.30613597236361,0,0,15.1,7,1,0,0,0
196,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
197,3,0,35.692429401993344,1,5,31.3875,7,1,0,0,0
198,2,1,26.18116947346385,1,2,27.75,7,1,0,0,1
199,2,0,30.603353083439043,0,0,13.0,7,1,0,0,0
200,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
201,3,0,27.061370842592183,0,0,9.5,7,1,0,0,0
202,3,1,22.679729007322972,1,0,14.4542,7,0,0,1,0
203,3,1,17.93038162373598,0,1,14.4542,7,0,0,1,1
204,3,1,26.578501271893515,0,0,8.85,7,1,0,0,1
205,3,0,28.091017427852407,0,0,7.7333,7,0,1,0,0
206,3,1,26.98041807106982,0,4,21.075,7,1,0,0,1
207,3,1,23.644625832719793,0,0,14.4583,7,0,0,1,1
208,2,1,22.928376392690243,0,2,13.0,7,1,0,0,1
209,3,1,26.820176316718126,0,0,7.8792,7,0,1,0,1
210,3,1,4.582417582417582,4,2,31.275,7,1,0,0,0
211,2,0,29.82119585901722,0,0,10.5,7,1,0,0,0
212,1,1,46.908288351998884,1,0,52.0,7,1,0,0,1
213,3,1,22.679729007322972,1,0,14.4542,7,0,0,1,0
214,3,1,17.921818218076652,0,1,12.475,4,1,0,0,1
215,1,1,38.40136722664308,1,1,93.5,1,1,0,0,1
216,1,1,42.83708503261444,0,1,39.4,3,1,0,0,1
217,3,0,20.708433941276102,2,0,7.925,7,1,0,0,0
218,2,1,32.79997419434853,1,0,26.0,7,1,0,0,1
219,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
220,3,0,28.354669605695626,0,0,7.8875,7,1,0,0,0
221,1,0,38.03510678446849,0,0,27.7208,7,0,0,1,0
222,3,0,27.061370842592183,0,0,9.4833,7,1,0,0,0
223,1,1,27.275667333333335,1,2,120.0,1,1,0,0,1
224,3,0,36.11101564885097,0,0,15.5,7,0,1,0,0
225,3,1,26.820176316718126,0,0,7.8792,7,0,1,0,1
226,1,0,36.749512436988304,1,0,83.475,2,1,0,0,0
227,3,1,27.070498951933992,0,0,8.1125,7,1,0,0,1
228,1,0,46.02134360973473,0,0,26.0,7,1,0,0,0
229,2,1,29.676992954985216,0,0,10.5,7,1,0,0,1
230,3,0,16.479545427541176,1,1,20.525,7,1,0,0,0
231,1,0,36.370875846375846,1,0,56.9292,0,0,0,1,0
232,2,0,29.82119585901722,0,0,10.5,7,1,0,0,0
233,3,0,33.698072161787785,1,0,7.75,7,0,1,0,1
234,3,0,27.86942913517647,0,0,7.775,7,1,0,0,0
235,3,1,5.6466666666666665,4,2,7.775,7,1,0,0,0
236,2,1,35.28411035163427,0,0,15.75,7,1,0,0,1
237,2,0,29.82119585901722,0,0,10.5,7,1,0,0,0
238,3,1,4.582417582417582,4,2,31.275,7,1,0,0,0
239,2,0,16.317869697806533,1,1,37.0042,7,0,0,1,0
240,1,1,36.37878266178266,0,1,57.9792,1,0,0,1,1
241,2,1,25.75729404836973,0,1,19.5,7,1,0,0,1
242,1,0,48.78828331382149,0,0,26.55,2,1,0,0,0
243,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
244,1,1,42.35191613524843,0,0,31.6792,0,0,0,1,1
245,2,0,33.258156930325775,1,0,21.0,7,1,0,0,0
246,2,0,30.603353083439043,0,0,13.0,7,1,0,0,0
247,2,1,14.288140077804995,1,2,41.5792,7,0,0,1,1
248,2,0,30.47480335249225,0,0,15.0458,3,0,0,1,0
249,3,0,37.02488417221915,0,0,7.75,7,0,1,0,0
250,3,0,12.466997530303031,3,2,27.9,7,1,0,0,0
251,1,1,35.52884998978638,0,0,106.425,7,0,0,1,1
252,3,0,27.86942913517647,0,0,7.775,7,1,0,0,0
253,2,1,30.47374098976627,0,0,13.0,7,1,0,0,1
254,3,0,35.642510241369465,0,0,14.5,7,1,0,0,0
255,1,0,46.02134360973473,0,0,26.0,7,1,0,0,0
256,2,1,29.676992954985216,0,0,10.5,7,1,0,0,1
257,1,0,48.07948595195654,0,0,42.5,1,1,0,0,0
258,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
259,3,0,20.708433941276102,2,0,7.925,7,1,0,0,0
260,3,0,26.319908238904908,0,0,8.6625,7,0,0,1,0
261,3,1,22.01796025339257,0,2,7.75,7,0,1,0,1
262,2,0,18.721704960882253,1,2,41.5792,7,0,0,1,0
263,3,0,18.157945115333384,0,1,8.4042,7,1,0,0,0
264,1,0,44.42973382173382,1,0,51.8625,3,1,0,0,0
265,1,0,39.68193115861755,1,0,82.1708,7,0,0,1,0
266,3,0,33.58257570291068,0,0,7.8208,7,0,1,0,0
267,3,1,26.974390160782406,0,0,9.8375,7,1,0,0,1
268,3,0,20.19632123791854,2,0,8.6625,7,1,0,0,0
269,3,0,30.36118008117426,0,0,7.05,7,1,0,0,0
270,3,0,37.02488417221915,0,0,7.75,5,0,1,0,0
271,3,0,32.041036550678676,1,0,17.4,7,1,0,0,0
272,3,0,13.350174002883298,1,1,15.7417,7,0,0,1,0
273,2,0,29.78367258889078,0,0,12.525,7,1,0,0,0
274,3,0,26.78137084259218,0,0,8.6625,7,1,0,0,0
275,3,0,31.427846747840928,0,0,7.1417,7,1,0,0,0
276,2,0,30.401660495349393,0,0,15.0333,7,0,0,1,0
277,3,0,26.78137084259218,0,0,8.6625,7,1,0,0,0
278,3,0,27.037673114525937,0,0,7.2292,7,0,0,1,0
279,3,0,23.946665629256454,2,0,24.15,7,1,0,0,0
280,2,0,33.258156930325775,1,0,21.0,7,1,0,0,0
281,2,0,34.31005150459384,1,0,26.0,7,1,0,0,0
282,3,1,27.48718638851782,1,0,7.8542,7,1,0,0,0
283,3,0,32.041036550678676,1,0,17.8,7,1,0,0,0
284,3,1,22.846111543607826,0,2,20.2125,7,1,0,0,1
285,3,1,27.188768920542294,0,0,7.8542,7,1,0,0,1
286,1,1,35.71814019811606,1,0,90.0,2,0,1,0,1
287,3,0,27.88461270023348,0,0,56.4958,7,1,0,0,0
288,1,1,46.77511586689173,1,0,76.7292,3,0,0,1,1
289,2,0,12.092398693913838,2,1,11.5,7,1,0,0,0
290,3,0,5.3284220779220774,4,1,29.125,7,0,1,0,0
291,2,0,26.92699150052954,1,0,11.5,7,1,0,0,0
292,3,1,26.820176316718126,0,0,8.1375,7,0,1,0,1
293,1,0,46.15924785671845,1,0,52.0,1,1,0,0,0
294,1,1,24.1725,0,2,71.0,1,1,0,0,1
295,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
296,3,0,28.354669605695626,0,0,7.925,7,1,0,0,0
297,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
298,2,0,38.1697425255877,0,0,0.0,7,1,0,0,1
299,3,1,7.208194499999999,3,1,21.075,7,1,0,0,0
300,2,0,32.96126445632801,1,0,27.0,7,1,0,0,0
301,2,0,29.82119585901722,0,0,10.5,7,1,0,0,0
302,2,0,38.1697425255877,0,0,0.0,7,1,0,0,1
303,1,0,46.90114500442086,0,1,512.3292,1,0,0,1,0
304,1,0,46.25584326367555,0,0,30.5,1,0,0,1,0
305,2,0,29.82119585901722,0,0,10.5,7,1,0,0,0
306,3,0,27.849089123033178,0,0,7.55,7,1,0,0,0
307,3,1,23.655028327827655,0,2,24.15,7,1,0,0,1
308,3,0,28.3541184926772,0,0,7.225,7,0,0,1,0
